action,step,count,avg,std
CASH_IN,1,447,155041.1451,131917.0502
CASH_IN,2,91,158866.2523,134859.017
CASH_IN,3,18,155689.3387,121524.7892
CASH_IN,6,118,162318.4789,139127.1139
CASH_IN,7,1297,154048.3626,131006.811
CASH_IN,8,3835,157357.9951,129211.3945
CASH_IN,9,5863,161178.7681,131336.9501
CASH_IN,10,3862,166080.3265,135267.5916
CASH_IN,11,3931,166309.7728,135332.1111
CASH_IN,12,3762,166204.4669,136401.0461
CASH_IN,13,3866,168188.7249,136538.931
CASH_IN,14,4614,164473.7238,131213.6401
CASH_IN,15,5083,162359.5124,127514.8211
CASH_IN,16,4460,163296.1191,127825.3188
CASH_IN,17,4950,162218.7396,126697.8336
CASH_IN,18,6091,160906.9447,125105.8932
CASH_IN,19,5959,160711.5868,123140.3171
CASH_IN,20,4619,157696.843,121474.6063
CASH_IN,21,3704,156687.6286,121421.5898
CASH_IN,22,2788,157666.2649,120589.9355
CASH_IN,23,1491,162108.4264,124358.7332
CASH_IN,24,579,166341.4046,129288.8469
CASH_IN,25,293,170032.9046,134044.082
CASH_IN,26,73,167579.6104,129812.1698
CASH_IN,27,13,150735.4337,120893.5899
CASH_IN,34,416,169986.2396,126606.4905
CASH_IN,35,2548,167211.7398,126768.7144
CASH_IN,36,4997,168045.971,126638.7651
CASH_IN,37,3014,168612.7799,127267.6846
CASH_IN,38,2938,168327.6196,127699.3835
CASH_IN,39,1496,165646.1204,125552.8897
CASH_IN,40,4596,167927.3086,125578.9087
CASH_IN,41,4193,165470.2061,124780.1399
CASH_IN,42,5148,164367.5314,122626.9017
CASH_IN,43,5059,161956.2641,121329.3161
CASH_IN,44,4372,162095.4747,122332.2837
CASH_IN,45,3528,160760.1317,122177.9869
CASH_IN,46,2834,162783.0277,121914.2506
CASH_IN,47,1831,163611.9064,123490.6439
CASH_IN,48,1260,166271.1052,125370.7121
CASH_IN,49,81,168524.7825,124371.3159
CASH_IN,93,733,158153.3784,122366.8557
CASH_IN,94,2165,159655.403,121298.3212
CASH_IN,95,1554,166052.4968,124463.1789
CASH_IN,96,1398,164012.9311,123443.2204
CASH_IN,97,85,169685.23,125211.9372
CASH_IN,119,1402,163328.3031,122629.5994
CASH_IN,120,566,161518.0713,120870.7081
CASH_IN,121,90,166672.1365,126369.653
CASH_IN,122,50,170859.902,124917.6703
CASH_IN,123,20,169010.4802,129412.5043
CASH_IN,132,21,163393.0061,117616.2929
CASH_IN,133,712,177985.6048,130824.0645
CASH_IN,134,2073,170662.4984,127439.2716
CASH_IN,135,1753,174235.8509,130622.7344
CASH_IN,136,3271,172229.9965,128738.1964
CASH_IN,137,3382,168071.6598,124278.4888
CASH_IN,138,2927,163845.8127,120906.9856
CASH_IN,139,5951,165485.6627,122401.1012
CASH_IN,140,4535,162486.3016,121418.351
CASH_IN,141,3689,160707.7752,121040.9934
CASH_IN,142,2759,160665.1262,120084.1905
CASH_IN,143,1709,162986.7004,122266.2692
CASH_IN,144,629,163167.125,124274.3926
CASH_IN,145,137,161977.4935,117610.746
CASH_IN,146,68,166899.536,123851.3397
CASH_IN,147,21,178121.0751,131426.7612
CASH_IN,155,456,173508.7238,128977.1006
CASH_IN,157,1439,171711.121,128968.91
CASH_IN,158,1965,172428.9519,128291.1468
CASH_IN,159,2052,168848.268,124494.7718
CASH_IN,160,2292,170796.0404,126340.2848
CASH_IN,161,3789,168657.906,125562.12
CASH_IN,162,4621,167148.7218,124320.2328
CASH_IN,163,5117,163818.2318,121033.7576
CASH_IN,164,4697,159373.8113,119646.6699
CASH_IN,165,3598,160551.39,119593.7225
CASH_IN,166,2784,162404.3698,121450.2378
CASH_IN,167,1734,162650.0159,122583.1124
CASH_IN,168,670,162656.4615,122184.3845
CASH_IN,169,146,165145.1474,119975.7141
